cohort_id	variant_type	annotation	row_type	bin_lower_inclusive	bin_upper_exclusive	total_records	present_records	missing_records	evaluable_rate	value_count	rate_among_present	min_value	max_value	mean_value
PRJNA1138464_20sample	snp	MQRankSum	histogram	-10	-5	10296980	4168103	6128877	0.404789	612	0.000147	NA	NA	NA
PRJNA1138464_20sample	snp	MQRankSum	histogram	-5	0	10296980	4168103	6128877	0.404789	2568636	0.616260	NA	NA	NA
PRJNA1138464_20sample	snp	MQRankSum	histogram	0	5	10296980	4168103	6128877	0.404789	1598786	0.383576	NA	NA	NA
PRJNA1138464_20sample	snp	MQRankSum	histogram	5	10	10296980	4168103	6128877	0.404789	69	0.000017	NA	NA	NA
PRJNA1138464_20sample	snp	MQRankSum	histogram	10	20	10296980	4168103	6128877	0.404789	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	snp	MQRankSum	histogram	20	+inf	10296980	4168103	6128877	0.404789	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	snp	ReadPosRankSum	summary	NA	NA	10296980	4157393	6139587	0.403749	4157393	1.000000	-10.54	13.58	0.180524103446
PRJNA1138464_20sample	snp	ReadPosRankSum	histogram	-inf	-25	10296980	4157393	6139587	0.403749	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	snp	ReadPosRankSum	histogram	-25	-20	10296980	4157393	6139587	0.403749	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	snp	ReadPosRankSum	histogram	-20	-10	10296980	4157393	6139587	0.403749	1	0.000000	NA	NA	NA
PRJNA1138464_20sample	snp	ReadPosRankSum	histogram	-10	-8	10296980	4157393	6139587	0.403749	5	0.000001	NA	NA	NA
PRJNA1138464_20sample	snp	ReadPosRankSum	histogram	-8	-5	10296980	4157393	6139587	0.403749	34	0.000008	NA	NA	NA
PRJNA1138464_20sample	snp	ReadPosRankSum	histogram	-5	0	10296980	4157393	6139587	0.403749	1522847	0.366299	NA	NA	NA
PRJNA1138464_20sample	snp	ReadPosRankSum	histogram	0	5	10296980	4157393	6139587	0.403749	2634490	0.633688	NA	NA	NA
PRJNA1138464_20sample	snp	ReadPosRankSum	histogram	5	10	10296980	4157393	6139587	0.403749	15	0.000004	NA	NA	NA
PRJNA1138464_20sample	snp	ReadPosRankSum	histogram	10	20	10296980	4157393	6139587	0.403749	1	0.000000	NA	NA	NA
PRJNA1138464_20sample	snp	ReadPosRankSum	histogram	20	+inf	10296980	4157393	6139587	0.403749	0	0.000000	NA	NA	NA
