cohort_id	variant_type	annotation	row_type	bin_lower_inclusive	bin_upper_exclusive	total_records	present_records	missing_records	evaluable_rate	value_count	rate_among_present	min_value	max_value	mean_value
PRJNA1138464_20sample	indel	MQRankSum	histogram	-10	-5	1649635	511238	1138397	0.309910	117	0.000229	NA	NA	NA
PRJNA1138464_20sample	indel	MQRankSum	histogram	-5	0	1649635	511238	1138397	0.309910	237106	0.463788	NA	NA	NA
PRJNA1138464_20sample	indel	MQRankSum	histogram	0	5	1649635	511238	1138397	0.309910	274006	0.535966	NA	NA	NA
PRJNA1138464_20sample	indel	MQRankSum	histogram	5	10	1649635	511238	1138397	0.309910	7	0.000014	NA	NA	NA
PRJNA1138464_20sample	indel	MQRankSum	histogram	10	20	1649635	511238	1138397	0.309910	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	MQRankSum	histogram	20	+inf	1649635	511238	1138397	0.309910	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	ReadPosRankSum	summary	NA	NA	1649635	504185	1145450	0.305634	504185	1.000000	-12.91	6.75	0.108328345746
PRJNA1138464_20sample	indel	ReadPosRankSum	histogram	-inf	-25	1649635	504185	1145450	0.305634	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	ReadPosRankSum	histogram	-25	-20	1649635	504185	1145450	0.305634	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	ReadPosRankSum	histogram	-20	-10	1649635	504185	1145450	0.305634	1	0.000002	NA	NA	NA
PRJNA1138464_20sample	indel	ReadPosRankSum	histogram	-10	-8	1649635	504185	1145450	0.305634	1	0.000002	NA	NA	NA
PRJNA1138464_20sample	indel	ReadPosRankSum	histogram	-8	-5	1649635	504185	1145450	0.305634	7	0.000014	NA	NA	NA
PRJNA1138464_20sample	indel	ReadPosRankSum	histogram	-5	0	1649635	504185	1145450	0.305634	200938	0.398540	NA	NA	NA
PRJNA1138464_20sample	indel	ReadPosRankSum	histogram	0	5	1649635	504185	1145450	0.305634	303228	0.601422	NA	NA	NA
PRJNA1138464_20sample	indel	ReadPosRankSum	histogram	5	10	1649635	504185	1145450	0.305634	10	0.000020	NA	NA	NA
PRJNA1138464_20sample	indel	ReadPosRankSum	histogram	10	20	1649635	504185	1145450	0.305634	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	ReadPosRankSum	histogram	20	+inf	1649635	504185	1145450	0.305634	0	0.000000	NA	NA	NA
