run_accession	sample_accession	secondary_sample_accession	study_accession	secondary_study_accession	experiment_accession	scientific_name	library_strategy	library_layout	library_source	library_selection	instrument_platform	instrument_model	read_count	base_count	fastq_bytes	fastq_md5	fastq_ftp	already_available_locally	existing_gvcf	selection_status	selection_reason
SRR29909215	SAMN42721084	SRS22067166	PRJNA1138464	SRP521244	SRX25404629	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	26123441	7837032300	2078343130;2442879358	f198d06570ad2815b4a583567ef16d33;b89939c4d2eec6827c5d5835f3430ea2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/015/SRR29909215/SRR29909215_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/015/SRR29909215/SRR29909215_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29909216	SAMN42721083	SRS22067165	PRJNA1138464	SRP521244	SRX25404628	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2697843	223920969	101596149	bbf0ff395978372eb49a52e7d3170cf3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/016/SRR29909216/SRR29909216.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29909217	SAMN42721053	SRS22067163	PRJNA1138464	SRP521244	SRX25404627	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2877385	238822955	108775648	b66465249169ae5a691e1c20422cf29a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/017/SRR29909217/SRR29909217.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29909218	SAMN42721052	SRS22067162	PRJNA1138464	SRP521244	SRX25404626	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2738605	227304215	106149797	ef74e65b95479bee52bf2a4f7746ddaa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/018/SRR29909218/SRR29909218.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29909219	SAMN42721051	SRS22067164	PRJNA1138464	SRP521244	SRX25404625	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2661742	220924586	100980418	b5a6087b2b25bf3db31afcb67894076c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/019/SRR29909219/SRR29909219.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29909220	SAMN42721050	SRS22067161	PRJNA1138464	SRP521244	SRX25404624	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2844933	236129439	109073936	63a33549711a96d60aad5c4d7cbe9416	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/020/SRR29909220/SRR29909220.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29909221	SAMN42721049	SRS22067159	PRJNA1138464	SRP521244	SRX25404623	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2864456	237749848	110402222	8cbc27bd6733cbcd20695849d0549e3b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/021/SRR29909221/SRR29909221.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29909222	SAMN42721048	SRS22067158	PRJNA1138464	SRP521244	SRX25404622	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2671706	221751598	104394928	bd9d1bb3402c431a49641e3ca42c69a3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/022/SRR29909222/SRR29909222.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29909223	SAMN42720913	SRS22067160	PRJNA1138464	SRP521244	SRX25404621	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2421909	201018447	93373054	2301a4d71d8e91634c73a14317020da6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/023/SRR29909223/SRR29909223.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29909224	SAMN42721047	SRS22067157	PRJNA1138464	SRP521244	SRX25404620	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2771317	230019311	104963767	93503d6f8800940632126a27be7cb851	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/024/SRR29909224/SRR29909224.fastq.gz	false	false	EXCLUDED	not WGS paired-end
