run_accession	sample_accession	secondary_sample_accession	study_accession	secondary_study_accession	experiment_accession	scientific_name	library_strategy	library_layout	library_source	library_selection	instrument_platform	instrument_model	read_count	base_count	fastq_bytes	fastq_md5	fastq_ftp	already_available_locally	existing_gvcf	selection_status	selection_reason
SRR29908789	SAMN42721561	SRS22066896	PRJNA1138464	SRP521244	SRX25404359	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	35466302	10639890600	2590753116;2713426593	fa583205541c384b05283a890fafe68c;eb3d151e6254d3c704937ccb8d902cb6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/089/SRR29908789/SRR29908789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/089/SRR29908789/SRR29908789_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908790	SAMN42721560	SRS22066895	PRJNA1138464	SRP521244	SRX25404358	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	24978759	7493627700	1820277330;1907535174	a34f7ff0aa0e1105891a648e009d8af5;0e688d15fc163889978174526bd86fde	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/090/SRR29908790/SRR29908790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/090/SRR29908790/SRR29908790_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908791	SAMN42721559	SRS22066894	PRJNA1138464	SRP521244	SRX25404357	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	34832884	10449865200	2539717769;2633021114	af51e5ed2d9c3735142eb5a02ef14a14;6c8409ea0152416b8a548bfffa3e126b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/091/SRR29908791/SRR29908791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/091/SRR29908791/SRR29908791_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908792	SAMN42721558	SRS22066893	PRJNA1138464	SRP521244	SRX25404356	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	36050861	10815258300	2624714766;2739783074	b90575e5d58ca4eced433b270cdc4a11;cbe26b8380fd444ff655af1cb763ec1f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/092/SRR29908792/SRR29908792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/092/SRR29908792/SRR29908792_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908793	SAMN42720964	SRS22066892	PRJNA1138464	SRP521244	SRX25404355	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	29365226	8809567800	2343607061;2522163860	45e3a1a3978a33cc26eab92adbbe5b29;2e420f7ba14a13e154a4c50ac6d77f84	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/093/SRR29908793/SRR29908793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/093/SRR29908793/SRR29908793_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908794	SAMN42721557	SRS22066889	PRJNA1138464	SRP521244	SRX25404354	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	37421350	11226405000	2724164487;2852890191	44fa0e8da467ff09676aa9f6099ec58f;3ef68034c22bed7c7ee0aee89d6fec54	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/094/SRR29908794/SRR29908794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/094/SRR29908794/SRR29908794_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908795	SAMN42721556	SRS22066891	PRJNA1138464	SRP521244	SRX25404353	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	36479975	10943992500	2657756215;2761307405	cd56b01455e13c62d8a2f861fb03193a;019a09db40424f1609f183f0f3893779	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/095/SRR29908795/SRR29908795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/095/SRR29908795/SRR29908795_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908796	SAMN42721555	SRS22066890	PRJNA1138464	SRP521244	SRX25404352	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	32937115	9881134500	2435746872;2487717805	4eeaea845e4dfad7f45718320906f022;cae0f8185e0b7112b93ef7b731757f82	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/096/SRR29908796/SRR29908796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/096/SRR29908796/SRR29908796_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908797	SAMN42721554	SRS22066888	PRJNA1138464	SRP521244	SRX25404351	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	32105555	9631666500	2379246854;2429262276	3338b5654f94e8fc766a47b1de4d9800;e578cfba615045ab8da9a8eccf584f0a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/097/SRR29908797/SRR29908797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/097/SRR29908797/SRR29908797_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908798	SAMN42721553	SRS22066887	PRJNA1138464	SRP521244	SRX25404350	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	23928787	7178636100	1789837091;1850885716	29596c0a97689dc0683fd0507925e63c;849a062c5dc2cf90c61b729cc87461e3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/098/SRR29908798/SRR29908798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/098/SRR29908798/SRR29908798_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908799	SAMN42721552	SRS22066885	PRJNA1138464	SRP521244	SRX25404349	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	30790291	9237087300	2264517677;2300387115	1a1a1f4536ff265db932fc3f08524abe;0c1e85d89a04e13224cd626bae3039e2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/099/SRR29908799/SRR29908799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/099/SRR29908799/SRR29908799_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908800	SAMN42721551	SRS22066886	PRJNA1138464	SRP521244	SRX25404348	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	32405239	9721571700	2398338804;2459108561	28132d1abaccd659b8e7037a877cdfc2;81703c3e5ab69df2c1eab1b66522a1c4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/000/SRR29908800/SRR29908800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/000/SRR29908800/SRR29908800_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908801	SAMN42721550	SRS22066884	PRJNA1138464	SRP521244	SRX25404347	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	29166543	8749962900	2174862016;2255715787	d1fa7ba64c766b648d119d2d2964a736;a4c863af327d24cc5f61f9bd0fcaebce	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/001/SRR29908801/SRR29908801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/001/SRR29908801/SRR29908801_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908802	SAMN42721549	SRS22066883	PRJNA1138464	SRP521244	SRX25404346	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	38080685	11424205500	2814687977;2861625842	0105a76abac5e50837ab5b894b31b759;2cc2fa7b8481d0cbafece56bb007f084	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/002/SRR29908802/SRR29908802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/002/SRR29908802/SRR29908802_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908803	SAMN42721548	SRS22066882	PRJNA1138464	SRP521244	SRX25404345	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	31757639	9527291700	2326604491;2460396769	066b6fe879fcb7cf004ab748d0103170;f145d9def9db854b2ef41be0994e9530	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/003/SRR29908803/SRR29908803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/003/SRR29908803/SRR29908803_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908804	SAMN42720963	SRS22066881	PRJNA1138464	SRP521244	SRX25404344	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	24907821	7472346300	1994733752;2165448842	eb74318c7d049e9c6a578c1533c5f165;6d31c3308fa09c89a6a123c7580d66f3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/004/SRR29908804/SRR29908804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/004/SRR29908804/SRR29908804_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908805	SAMN42721547	SRS22066880	PRJNA1138464	SRP521244	SRX25404343	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	41833581	12550074300	3035174633;3173588638	2b007f09c01259039ddb02cb77b89e8f;71f63de9f9379540cf8e06728bc6b8fa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/005/SRR29908805/SRR29908805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/005/SRR29908805/SRR29908805_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908806	SAMN42721546	SRS22066879	PRJNA1138464	SRP521244	SRX25404342	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	49140819	14742245700	3560494787;3700235563	c3089aba4f648eedd80a650a5350e072;5a31438ee72656fb63e1ae27ec830ed9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/006/SRR29908806/SRR29908806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/006/SRR29908806/SRR29908806_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908807	SAMN42721545	SRS22066878	PRJNA1138464	SRP521244	SRX25404341	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	42196620	12658986000	3061480599;3170421925	fc6cc4da173bf6ff5767966ee0b919d5;25b7b731a03982789bf8a53b7e8dd6d2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/007/SRR29908807/SRR29908807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/007/SRR29908807/SRR29908807_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908808	SAMN42721544	SRS22066876	PRJNA1138464	SRP521244	SRX25404340	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	31815000	9544500000	2323450605;2442795551	5930b08b18f859bba8684ce374c7b944;beaa97393a4cd80d46ff3594a5dbaae1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/008/SRR29908808/SRR29908808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/008/SRR29908808/SRR29908808_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908809	SAMN42721226	SRS22066877	PRJNA1138464	SRP521244	SRX25404339	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2827736	234702088	111559942	4bb0485630602fcb92d2105d6db50c0f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/009/SRR29908809/SRR29908809.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29908810	SAMN42721225	SRS22066875	PRJNA1138464	SRP521244	SRX25404338	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	20606169	6181850700	1720819272;2013139231	f13bc4226e002592ca5f2f2f608bcafa;1798facaa849f3c992219ca61e228c74	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/010/SRR29908810/SRR29908810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/010/SRR29908810/SRR29908810_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908811	SAMN42721224	SRS22066874	PRJNA1138464	SRP521244	SRX25404337	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2792795	231801985	111851981	8a8744a2958961af5484295f5b64ff7c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/011/SRR29908811/SRR29908811.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29908812	SAMN42721223	SRS22066872	PRJNA1138464	SRP521244	SRX25404336	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2742777	227650491	108793130	a529731cd59f286d4a6a2cc330210947	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/012/SRR29908812/SRR29908812.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29908813	SAMN42721222	SRS22066873	PRJNA1138464	SRP521244	SRX25404335	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2777415	230525445	107208023	8ad862b6b83e1f7a1a2248695e5145a2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/013/SRR29908813/SRR29908813.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29908814	SAMN42721221	SRS22066871	PRJNA1138464	SRP521244	SRX25404334	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	23428416	7028524800	1874605136;1975472554	424be8722d1df08cf535a6963b092483;8ca5da005f3fa0054767a93179bd6594	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/014/SRR29908814/SRR29908814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/014/SRR29908814/SRR29908814_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908815	SAMN42721220	SRS22066870	PRJNA1138464	SRP521244	SRX25404333	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2865651	237849033	114400052	7bf24603ecf3e70abb5b376c7619ea0d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/015/SRR29908815/SRR29908815.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29908816	SAMN42721219	SRS22066869	PRJNA1138464	SRP521244	SRX25404332	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2928307	243049481	115675342	4419f7aa21aa2bb101218c898599296c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/016/SRR29908816/SRR29908816.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29908817	SAMN42721218	SRS22066867	PRJNA1138464	SRP521244	SRX25404331	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2721862	225914546	109813401	01bb701ff2559acfef84fbe083dfcc80	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/017/SRR29908817/SRR29908817.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29908818	SAMN42720930	SRS22066868	PRJNA1138464	SRP521244	SRX25404330	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	28693135	8607940500	2278641918;2612001760	6d201ed8c903ee8f06f3c9c4cb33db62;b0713d3191a69934ed482cebc16710b7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/018/SRR29908818/SRR29908818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/018/SRR29908818/SRR29908818_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908819	SAMN42721217	SRS22066866	PRJNA1138464	SRP521244	SRX25404329	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2826030	234560490	110085354	3ceef5e868ad8cf6de42fbf9f4ee3e89	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/019/SRR29908819/SRR29908819.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29908820	SAMN42721216	SRS22066865	PRJNA1138464	SRP521244	SRX25404328	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2019814	167644562	78245333	9f6e0189f5341b06594ed0f7af8c8ecc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/020/SRR29908820/SRR29908820.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29908821	SAMN42721215	SRS22066864	PRJNA1138464	SRP521244	SRX25404327	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2727945	226419435	106488935	f7541856133537ae741697aa9c09f8e2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/021/SRR29908821/SRR29908821.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29908822	SAMN42721214	SRS22066863	PRJNA1138464	SRP521244	SRX25404326	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	20410053	6123015900	1716939305;1909502473	88f40dcf63ff48a034365db52eb7334d;f7c282a275a38d0b8d9b5cdacb1b5961	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/022/SRR29908822/SRR29908822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/022/SRR29908822/SRR29908822_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908823	SAMN42721213	SRS22066862	PRJNA1138464	SRP521244	SRX25404325	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	27420994	8226298200	2214677287;2545781227	f7826101c06dca6d223a3bd61068c809;d9ca42c2e1d74ef3545d33b24a0d2b49	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/023/SRR29908823/SRR29908823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/023/SRR29908823/SRR29908823_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908824	SAMN42721212	SRS22066861	PRJNA1138464	SRP521244	SRX25404324	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	25513097	7653929100	2058678933;2311788459	6516317c8ea7a1342ef3cabe980c9d46;98f462394610fafe1ee77c83d2d2995d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/024/SRR29908824/SRR29908824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/024/SRR29908824/SRR29908824_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908825	SAMN42721211	SRS22066860	PRJNA1138464	SRP521244	SRX25404323	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	24842526	7452757800	2089350898;2303801050	58fc58c9d6aa2ac37c0229af2da67e0f;48c2c9c28af1d99022caeb7dc08ec094	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/025/SRR29908825/SRR29908825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/025/SRR29908825/SRR29908825_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908826	SAMN42721210	SRS22066858	PRJNA1138464	SRP521244	SRX25404322	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	29028613	8708583900	2354675497;2673074787	95a8209bbef7d7a3e3b19c65b2ace16d;839c033f45830234bbef34ec3b2125f1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/026/SRR29908826/SRR29908826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/026/SRR29908826/SRR29908826_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908827	SAMN42721209	SRS22066859	PRJNA1138464	SRP521244	SRX25404321	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	27340554	8202166200	2208918201;2535320923	00d0adbb754779a2a77fc4ea3aa4b87b;7f22ce35ca73324152cc12c3563d5878	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/027/SRR29908827/SRR29908827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/027/SRR29908827/SRR29908827_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908828	SAMN42721208	SRS22066857	PRJNA1138464	SRP521244	SRX25404320	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	26840420	8052126000	2181522933;2471924191	33f788f125233de40b8c965d403ffc4d;023b19d426b7201511c5b8a15524ab0a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/028/SRR29908828/SRR29908828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/028/SRR29908828/SRR29908828_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908829	SAMN42720929	SRS22066856	PRJNA1138464	SRP521244	SRX25404319	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	27821771	8346531300	2241700464;2601439879	e1718facb32d5d8c96c3684d608430db;dc556275f8249bd428d34ed4c8d97cc5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/029/SRR29908829/SRR29908829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/029/SRR29908829/SRR29908829_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908830	SAMN42721207	SRS22066855	PRJNA1138464	SRP521244	SRX25404318	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2826240	234577920	111149350	553af25af3e07c3fc33396ab204a8db8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/030/SRR29908830/SRR29908830.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29908831	SAMN42721206	SRS22066854	PRJNA1138464	SRP521244	SRX25404317	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2715793	225410819	106423653	d15624076b879cc7964015e903935b44	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/031/SRR29908831/SRR29908831.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29908832	SAMN42721205	SRS22066853	PRJNA1138464	SRP521244	SRX25404316	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	22529555	6758866500	1898041698;2100170339	ec5aa92b09db349ece821a10b2537d59;409bfa9d691408af7c2df4218112a034	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/032/SRR29908832/SRR29908832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/032/SRR29908832/SRR29908832_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29908833	SAMN42721204	SRS22066852	PRJNA1138464	SRP521244	SRX25404315	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2884620	239423460	111880060	ec57a2c3e2f54e42e84296d4c1de9b58	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/033/SRR29908833/SRR29908833.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29908834	SAMN42721203	SRS22066851	PRJNA1138464	SRP521244	SRX25404314	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	22507957	6752387100	1801795493;2004677218	7e330c0483dab0e523234ccb6b7d346f;738f3028b843ed9849964aa06c2283b6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/034/SRR29908834/SRR29908834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/034/SRR29908834/SRR29908834_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29908835	SAMN42721202	SRS22066850	PRJNA1138464	SRP521244	SRX25404313	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	24788783	7436634900	2004192846;2226564221	874449b9c10405df1e777f6c869e6302;6a57e48936f61a4eca23fd1a66c873fc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/035/SRR29908835/SRR29908835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/035/SRR29908835/SRR29908835_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29908836	SAMN42721201	SRS22066849	PRJNA1138464	SRP521244	SRX25404312	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	19610446	5883133800	1587074697;1787599267	b114bc7d20ab8a48ae24c51d511c3ec6;06dc0a0e7bad5a16a805466600c62be8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/036/SRR29908836/SRR29908836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/036/SRR29908836/SRR29908836_2.fastq.gz	true	true	SELECTED	existing20 public cohort
SRR29908837	SAMN42721200	SRS22066848	PRJNA1138464	SRP521244	SRX25404311	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	31363701	9409110300	2580759691;2853044476	cc9ef0cd91b27b488562e15eb88afe78;c8d62e3211543a5105cd2928e0b86d82	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/037/SRR29908837/SRR29908837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/037/SRR29908837/SRR29908837_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29908838	SAMN42721199	SRS22066847	PRJNA1138464	SRP521244	SRX25404310	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	24167410	7250223000	2038182892;2209130028	3a9d08681c362dfd2cf188a9df3dd9c5;dd81f4bfca3f3e9fd90021f4d949a829	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/038/SRR29908838/SRR29908838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/038/SRR29908838/SRR29908838_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29908839	SAMN42721198	SRS22066846	PRJNA1138464	SRP521244	SRX25404309	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2646150	219630450	103221731	8dd9aab987a6cf23b59d4a3888a94d07	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/039/SRR29908839/SRR29908839.fastq.gz	false	false	EXCLUDED	not WGS paired-end
